"entrez","symbol","ensembl","gene_type","baseMean","l2fc_raw","l2fc_shrunk","lfcSE","pvalue","padj","direction"
"284576","LEMD1-AS1","ENSG00000226235","ncRNA",82.0487912067113,-2.26257547116535,-2.02534317729621,0.533358519615971,2.21409677848188e-05,0.000629816562053785,"down"
"201164","PLD6","ENSG00000179598","protein-coding",42.8754560188574,-2.25834201553076,-2.02022159235704,0.533371615262618,2.29481728231703e-05,0.000649023842168998,"down"
"64135","IFIH1","ENSG00000115267","protein-coding",132.611873640734,2.5683003029896,2.27927509730641,0.606984109186307,2.32398254863652e-05,0.000655233300993031,"up"
"84634","KISS1R","ENSG00000116014","protein-coding",20.5061579150693,-4.28769405792407,-3.78214737338964,1.01608639833676,2.44505614806432e-05,0.000686529462624362,"down"
"57662","CAMSAP3","ENSG00000076826","protein-coding",1034.8376994123,-2.56603952099402,-2.28325561072591,0.609165131453355,2.52685691620849e-05,0.000708039331587957,"down"
"4199","ME1","ENSG00000065833","protein-coding",544.59172524916,1.74362320880028,1.57353204341146,0.414518384749139,2.5948998822014e-05,0.000723388040780563,"up"
"140462","ASB9","ENSG00000102048","protein-coding",37.8672390035026,2.39494556772182,2.13523561528636,0.57075627115135,2.71560511651149e-05,0.000752421320087085,"up"
"105372978","LINC01638","ENSG00000233521","ncRNA",15.0511669034168,6.72019826805849,6.29147019521077,1.60185992228003,2.725742112378e-05,0.000754463278699226,"up"
"7851","MALL","ENSG00000144063","protein-coding",53.9953498108679,1.85618268571395,1.66902441373938,0.443983227451709,2.90549724860797e-05,0.000798543114778706,"up"
"171389","NLRP6","ENSG00000174885","protein-coding",43.7751506395515,5.38579526708395,4.74420000753169,1.28891545742165,2.93375924088002e-05,0.000803879517018623,"up"
"10500","SEMA6C","ENSG00000143434","protein-coding",2312.19333509406,-1.81193848113945,-1.63033159746436,0.43408339728864,2.9907260363811e-05,0.000818666211404562,"down"
"8826","IQGAP1","ENSG00000140575","protein-coding",8136.60492036113,1.51727323624485,1.37970617143317,0.363979853433203,3.06524982496923e-05,0.00083654625853815,"up"
"2257","FGF12","ENSG00000114279","protein-coding",964.358748983372,1.71643746639349,1.54552708667805,0.413181062957392,3.26425173327939e-05,0.000882027346443303,"up"
"162394","SLFN5","ENSG00000166750","protein-coding",2522.19941710446,1.69455398254101,1.52612850264819,0.40903030704644,3.43006158772971e-05,0.000921351715545445,"up"
"105373335","LOC105373335","ENSG00000235189","ncRNA",151.22068750545,1.60301946267023,1.44789169848562,0.387995563819582,3.60339875572871e-05,0.000965059564599092,"up"
"8935","SKAP2","ENSG00000005020","protein-coding",161.621237208755,2.04311973365561,1.82145255513729,0.4948077425229,3.6415691764819e-05,0.000973370019878456,"up"
"254173","TTLL10","ENSG00000162571","protein-coding",17.3978734777228,-3.36425445786167,-2.956455452041,0.81536071241086,3.68977457257777e-05,0.000984324989694328,"down"
"132720","FAM241A","ENSG00000174749","protein-coding",106.904419983259,1.70783938803785,1.53657739213563,0.413992475968594,3.70266475952387e-05,0.000986798162303605,"up"
"1517","CTSLP2","ENSG00000285662","pseudo",21.65327569524,-3.25714538511431,-2.86051624615385,0.789874356450829,3.72956440810521e-05,0.000992027746561762,"down"
"30817","ADGRE2","ENSG00000127507","protein-coding",25.9700004894082,3.72676673414939,3.27208327659443,0.90387641883105,3.73818324432791e-05,0.00099335114983778,"up"
"6043","SNORA63","ENSG00000200320","snoRNA",1000.73660815806,-1.75042699860059,-1.57515384063531,0.426031408687655,3.97925901447608e-05,0.00104720576998722,"down"
"102723817","CNIH3-AS2","ENSG00000233384","ncRNA",54.7768456803358,3.32023787725005,2.89840687600957,0.809098554506504,4.06724749996238e-05,0.00106522032506219,"up"
"152789","JAKMIP1","ENSG00000152969","protein-coding",51.2179292702706,-2.72971564039645,-2.40591917799427,0.666716609048416,4.23506523216147e-05,0.00110598485143343,"down"
"7099","TLR4","ENSG00000136869","protein-coding",1030.91603465529,2.34845550186856,2.07216695690509,0.574008395383032,4.28913600652066e-05,0.00111689593201317,"up"
"56341","PRMT8","ENSG00000111218","protein-coding",292.493510066998,-1.73402905770791,-1.55618991528451,0.42438987513432,4.3899840355482e-05,0.00113556475090309,"down"
"3779","KCNMB1","ENSG00000145936","protein-coding",198.567746508307,2.04548804424441,1.81671297424284,0.50057379484111,4.38332070853779e-05,0.00113556475090309,"up"
