"entrez","symbol","ensembl","gene_type","baseMean","l2fc_raw","l2fc_shrunk","lfcSE","pvalue","padj"
"5156","PDGFRA","ENSG00000134853","protein-coding",634.409729364859,4.26580817397173,4.15083880843899,0.495674425531212,7.56089407169109e-18,1.60742853699563e-15
"1312","COMT","ENSG00000093010","protein-coding",383.75485219811,-3.88871960208658,-3.78424459483233,0.451893317825381,7.60557076263338e-18,1.60742853699563e-15
"340061","STING1","ENSG00000184584","protein-coding",181.792502216773,5.60516747694893,5.45768815614378,0.652679307077085,8.85463233097932e-18,1.85702073747554e-15
"84631","SLITRK2","ENSG00000185985","protein-coding",260.396433174018,-6.0519528745964,-5.88270922190167,0.705640898311045,9.77751177159512e-18,2.03491664840282e-15
"54885","TBC1D8B","ENSG00000133138","protein-coding",338.065672226775,3.91121544501563,3.80933535471114,0.456169753493824,9.99210162619592e-18,2.06382317224701e-15
"1429","CRYZ","ENSG00000116791","protein-coding",98.3567472600497,-6.29174799309157,-6.11787724759108,0.735883517839692,1.23169815212058e-17,2.52488860296357e-15
"3736","KCNA1","ENSG00000111262","protein-coding",295.600071787435,5.22494265354707,5.08189624495364,0.611307977600479,1.26162186786588e-17,2.56692974667876e-15
"23493","HEY2","ENSG00000135547","protein-coding",366.941428492442,3.42227479809667,3.33313393903284,0.400825801022394,1.36493870342598e-17,2.73630064780926e-15
"26509","MYOF","ENSG00000138119","protein-coding",3269.667849813,3.8531743298354,3.7564384349002,0.451269742935439,1.35955502832789e-17,2.73630064780926e-15
"3671","ISLR","ENSG00000129009","protein-coding",5194.89873950832,5.10831044858399,4.97119482926887,0.602512083133113,2.28403041652272e-17,4.54538724642887e-15
"50805","IRX4","ENSG00000113430","protein-coding",203.620498292133,6.21580512516048,6.04008598822189,0.739465861975637,4.24940188021593e-17,8.39534006247877e-15
"51313","GASK1B","ENSG00000164125","protein-coding",888.826236238084,3.94768632011292,3.84237147926854,0.470008577123455,4.49609787323092e-17,8.8188210371056e-15
"133584","EGFLAM","ENSG00000164318","protein-coding",515.961826057483,3.80193807461872,3.69756873114015,0.455125185655277,6.62079778154276e-17,1.28935307654273e-14
"214","ALCAM","ENSG00000170017","protein-coding",2458.53052017934,2.54130023742462,2.47473768763827,0.305230738670985,8.37375994571679e-17,1.61916447631222e-14
"7262","PHLDA2","ENSG00000181649","protein-coding",317.198121776604,5.31560237346248,5.15959010000176,0.638773712075113,8.68031881030791e-17,1.66662121157912e-14
"79083","MLPH","ENSG00000115648","protein-coding",303.952212237675,5.66741718071153,5.49858229509284,0.681501831056911,9.09278496362844e-17,1.73360621852004e-14
"6372","CXCL6","ENSG00000124875","protein-coding",304.510509680023,5.37018834107299,5.21069326639118,0.650498345957638,1.51269093846627e-16,2.86402817682947e-14
"2295","FOXF2","ENSG00000137273","protein-coding",240.621386859633,5.33512502140342,5.17961089745158,0.649087707953216,2.04488315205612e-16,3.84494443156262e-14
"57369","GJD2","ENSG00000159248","protein-coding",111.931461477528,-4.66096975450532,-4.52217063154326,0.567172772431133,2.07095626370015e-16,3.86729805298088e-14
"4311","MME","ENSG00000196549","protein-coding",849.997152121687,3.45375794541278,3.35308800649006,0.424069569526613,3.81421750893715e-16,7.07420586147364e-14
"152573","SHISA3","ENSG00000178343","protein-coding",77.9486668191709,-3.62627146420164,-3.51859901586799,0.44534115559884,3.86616341442153e-16,7.12209995478302e-14
"644919","LINC02315",NA,"ncRNA",169.709532414759,3.15976969961742,3.06939620884865,0.388213899788681,3.97736358452223e-16,7.27777454821571e-14
"5578","PRKCA","ENSG00000154229","protein-coding",1263.65334402965,3.09412501096827,3.00770250037937,0.380606083112327,4.31178211283368e-16,7.83709516828649e-14
"652","BMP4","ENSG00000125378","protein-coding",406.304295079427,3.30638086752074,3.20879995733557,0.407004284514244,4.52181168371395e-16,8.16441547978656e-14
"140766","ADAMTS14","ENSG00000138316","protein-coding",916.643934306617,6.40915720306238,6.2135618209648,0.791869122827619,5.78754852902164e-16,1.03810344141609e-13
"54809","SAMD9","ENSG00000205413","protein-coding",366.792806012102,6.30013990320698,6.11354527354614,0.778738390560593,5.95727593089258e-16,1.06156320901866e-13
"5054","SERPINE1","ENSG00000106366","protein-coding",2062.69268923736,5.57180407032104,5.40135611143559,0.689068968575311,6.16617740506057e-16,1.09165364137384e-13
"654433","PAX8-AS1","ENSG00000189223","ncRNA",264.139097884869,4.43344816986844,4.29751606508759,0.549493332420416,7.13144085119195e-16,1.25439744107676e-13
"11005","SPINK5","ENSG00000133710","protein-coding",352.792132325164,2.70818293282533,2.63069048582776,0.3368079549724,8.93024461186747e-16,1.55079101336277e-13
"2303","FOXC2","ENSG00000176692","protein-coding",237.831944728321,5.89106780059699,5.70570018660532,0.732608158230877,8.89440108069537e-16,1.55079101336277e-13
"79642","ARSJ","ENSG00000180801","protein-coding",575.194198265189,4.02926085832696,3.9072488094786,0.501433241873002,9.32070910897824e-16,1.60835324776698e-13
"1601","DAB2","ENSG00000153071","protein-coding",2603.84193325242,3.23113644866025,3.13794087759359,0.402764360760497,1.03699565390631e-15,1.7781540571133e-13
"8519","IFITM1","ENSG00000185885","protein-coding",1694.69946782025,3.55676771368325,3.45456803244327,0.443499331530422,1.05933472667143e-15,1.80510637424812e-13
"201799","TMEM154","ENSG00000170006","protein-coding",243.330706611894,3.5601206144046,3.45296913325901,0.445657853985123,1.36633108078281e-15,2.31376711717158e-13
"1305","COL13A1","ENSG00000197467","protein-coding",1003.31982141744,5.75852568280893,5.57590605744497,0.724636149770521,1.91418466040128e-15,3.22150188772719e-13
"84166","NLRC5","ENSG00000140853","protein-coding",393.432780358078,6.65819670882332,6.44920778536868,0.838928050214754,2.07878009954598e-15,3.4770466646639e-13
"727764","MAFIP","ENSG00000277400","pseudo",154.854256182558,7.07772919656858,6.8576382519688,0.896275952531446,2.861108062811e-15,4.75641769661458e-13
"153579","BTNL9","ENSG00000165810","protein-coding",246.167331946705,3.52439606917052,3.41573643063764,0.446858415642955,3.09405687547803e-15,5.1125070698808e-13
"169611","OLFML2A","ENSG00000185585","protein-coding",979.565819187194,4.17575946251372,4.04481293192262,0.530724476056812,3.60250955507353e-15,5.91679641623644e-13
