"ensembl","symbol","gene_type","baseMean","l2fc_raw","l2fc_shrunk","padj","l2fc_ref","padj_ref"
"ENSG00000110536","PTPMT1","protein-coding",876.522076415996,0.13360094266719,0.107396380076873,0.845324774637368,-0.25811158794,0.900210554737453
"ENSG00000110583","NAA40","protein-coding",2318.52668909711,-0.342503600502913,-0.275858337412348,0.562875483745758,-0.159975032708,0.899336310049592
"ENSG00000110619","CARS1","protein-coding",2385.24138892403,0.887244991762486,0.743622759697793,0.0874356322135157,-0.868600248071,0.200298238934007
"ENSG00000110628","SLC22A18","protein-coding",69.9832170479794,1.68007103371633,1.19046085754408,0.0745378483981883,1.25937379705,0.345412912004074
"ENSG00000110651","CD81","protein-coding",5944.38980015883,0.228101618801433,0.152743518715827,0.810031548088389,0.535447381218,0.484139955725944
"ENSG00000110660","SLC35F2","protein-coding",172.16357932611,2.05786901968923,1.86371854992533,0.00031020249681447,1.66908826113,0.000205536156723259
"ENSG00000110675","ELMOD1","protein-coding",663.004825775408,4.98092769382745,4.78376575529642,1.36102649606601e-10,3.47777648754,1.20981680429815e-06
"ENSG00000110693","SOX6","protein-coding",1127.28015682307,-0.394178563981331,-0.285897544453387,0.606430170274223,-0.885126190533,0.264359088281669
"ENSG00000110696","C11orf58","protein-coding",8430.44088294701,-0.242513320349493,-0.191082447372665,0.704181992036469,-0.0196667481169,0.994479239117159
"ENSG00000110697","PITPNM1","protein-coding",2848.71540786034,-0.805337301738711,-0.51839729124601,0.372738784031103,-0.11794075958,0.973344785768276
"ENSG00000110700","RPS13","protein-coding",6179.38188556227,0.58409532044249,0.394316852320174,0.491055542283292,-0.0409749776926,0.993639397238425
"ENSG00000110711","AIP","protein-coding",1006.91370258434,0.559754182813507,0.442690403348726,0.353801918250822,0.614854393742,0.15995927449492
"ENSG00000110713","NUP98","protein-coding",5757.60414974403,0.593465327053821,0.429047393542602,0.429023827009645,0.0195764092622,0.996432860636316
"ENSG00000110717","NDUFS8","protein-coding",1567.58436896198,0.332303947949387,0.261371389079993,0.607874060113696,0.191243986998,0.902062594201378
"ENSG00000110719","TCIRG1","protein-coding",671.284736022024,0.909229753099951,0.672843091667093,0.207775561091454,2.91767960843,2.31627568712762e-05
"ENSG00000110721","CHKA","protein-coding",2574.29352405956,-0.66281320511249,-0.522788482604245,0.276516707966196,0.0772181138731,0.981094540292852
"ENSG00000110723","EXPH5","protein-coding",259.154503082192,-0.629014159863394,-0.422272483959509,0.467211559199703,-0.6192890465,0.639322930402079
"ENSG00000110756","HPS5","protein-coding",1614.78802793836,0.318185452674252,0.265720230723166,0.555016412648778,0.25348249528,0.799943766856923
"ENSG00000110768","GTF2H1","protein-coding",1521.18650399476,0.695182770158022,0.512210496602624,0.332752235073285,0.187379054833,0.942388799811007
"ENSG00000110786","PTPN5","protein-coding",419.181477124957,-1.63207029720507,-1.43546676456783,0.00378746802447499,-1.39869517833,0.00275345455420203
"ENSG00000110799","VWF","protein-coding",79.6116667967998,1.24518325102844,0.972762031825952,0.0748700036437321,1.12906878856,0.121820430563634
"ENSG00000110801","PSMD9","protein-coding",1201.79943854961,0.398099361897982,0.310155556023919,0.5421703728325,0.479287812941,0.489967108017007
"ENSG00000110811","P3H3","protein-coding",1274.68935745394,0.34573398713377,0.172811077123753,0.794581822509597,1.2397737311,0.0763121492641061
"ENSG00000110841","PPFIBP1","protein-coding",2939.62200010291,1.21429538183918,1.12784165893313,0.000350745270204256,1.07177595177,0.000655550069041876
